Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
54,Russell Wilson,SEA,5,33,QB,QB3,71.7,77.7,80.9,71.7,91.5,53.2
55,Melvin Gordon III,LAC,11,29,RB,RB21,85.2,89.1,86.3,78.6,89.1,53.7
55,Danny Woodhead,LAC,11,37,RB,RB22,null,null,null,null,null,53.7
57,Marvin Jones Jr.,DET,10,32,WR,WR29,200,164.9,173.2,158.7,200,56.2
58,Arian Foster,MIA,8,36,RB,RB23,null,null,null,null,null,57.4
59,Giovani Bernard,CIN,9,30,RB,RB24,298,253,170.5,140.1,298,57.7
60,Andrew Luck,IND,10,32,QB,QB4,null,null,null,null,null,58.3
61,Larry Fitzgerald,ARI,9,39,WR,WR30,null,null,null,null,null,60.2
62,Ryan Mathews,PHI,4,34,RB,RB25,null,null,null,null,null,60.4
63,Drew Brees,NO,5,43,QB,QB5,null,null,null,null,null,61.1
64,Jonathan Stewart,CAR,7,35,RB,RB26,null,null,null,null,null,62.8
65,Delanie Walker,TEN,13,38,TE,TE4,null,null,null,null,null,64
66,Jordan Matthews,PHI,4,30,TE,TE5,null,null,null,null,null,64.2
67,Travis Kelce,KC,5,32,TE,TE6,15.1,15.3,14.9,12.5,15.4,64.3
68,Allen Hurns,JAX,5,30,WR,WR31,null,null,null,null,null,65.5
69,Duke Johnson,CLE,13,28,RB,RB27,284,240,237,235,287,66.9
70,Tom Brady,NE,9,45,QB,QB6,85.5,92,90.4,85.5,141.9,68.5
71,DeAngelo Williams,PIT,8,39,RB,RB28,null,null,null,null,null,69.1
72,Emmanuel Sanders,DEN,11,35,WR,WR32,null,null,null,null,null,70.6
73,Ben Roethlisberger,PIT,8,40,QB,QB7,null,null,null,null,null,72
74,Coby Fleener,NO,5,33,TE,TE7,null,null,null,null,null,72.7
75,Tyler Lockett,SEA,5,29,WR,WR33,105.8,108.6,106.1,40.9,167,73.4
76,Frank Gore,IND,10,39,RB,RB29,null,null,null,null,null,73.8
77,Rashad Jennings,NYG,8,37,RB,RB30,null,null,null,null,null,74.9
78,John Brown,ARI,9,32,WR,WR34,760,705,721,620,772,78.3
79,Matt Jones,WAS,9,26,RB,RB31,null,null,null,null,null,78.4
80,Derrick Henry,TEN,13,28,RB,RB32,4.1,4.1,4,1.7,4.3,78.5
81,Michael Crabtree,LV,10,34,WR,WR35,null,null,null,null,null,78.6
82,Gary Barnidge,CLE,13,36,TE,TE8,null,null,null,null,null,79.6
83,DeSean Jackson,WAS,9,35,WR,WR36,null,null,null,null,null,81.9
84,Ameer Abdullah,DET,10,29,RB,RB33,238,159,143.5,104.9,294,82.1
85,Carson Palmer,ARI,9,42,QB,QB8,null,null,null,null,null,83.8
86,Chris Ivory,JAX,5,34,RB,RB34,null,null,null,null,null,84.1
87,Sterling Shepard,NYG,8,29,WR,WR37,205,188,191,134.5,207,84.7
88,Blake Bortles,JAX,5,30,QB,QB9,737,683,700,540,751,86.1
89,Charles Sims,TB,6,31,RB,RB35,null,null,null,null,null,87.2
90,Zach Ertz,PHI,4,31,TE,TE9,91,96.6,96.9,91,138,88.2
91,Justin Forsett,BAL,8,36,RB,RB36,null,null,null,null,null,90.7
92,James White,NE,9,30,RB,RB37,725,671,171.9,136.4,725,90.9
93,LeGarrette Blount,NE,9,35,RB,RB38,null,null,null,null,null,91.6
94,DeVante Parker,MIA,8,29,WR,WR38,130.4,131.6,130.6,105.3,131.6,91.7
95,Willie Snead IV,NO,5,29,WR,WR39,732,678,695,624,771,92.1
96,Eli Manning,NYG,8,41,QB,QB10,null,null,null,null,null,93.3
97,T.J. Yeldon,JAX,5,28,RB,RB39,null,null,null,null,null,93.7
98,Philip Rivers,LAC,11,40,QB,QB11,null,null,null,null,null,96.8
99,Kevin White,CHI,9,29,WR,WR40,767,712,728,635,767,97.7
100,Julius Thomas,JAX,5,34,TE,TE10,null,null,null,null,null,98
101,Devin Funchess,CAR,7,28,TE,TE11,639,590,602,590,843,98.5
102,Stefon Diggs,MIN,6,28,WR,WR41,13.8,13.3,13.3,13.1,18.6,99.2
103,Christine Michael,SEA,5,31,RB,RB40,null,null,null,null,null,99.6
104,Theo Riddick,DET,10,31,RB,RB41,null,null,null,null,null,99.8
105,Antonio Gates,LAC,11,42,TE,TE12,null,null,null,null,null,101.7
106,Derek Carr,LV,10,31,QB,QB12,99.4,103.8,101.9,99.4,130.9,103.5
106,Denver Broncos,DEN,11,null,DST,DST1,184.7,165.8,168.1,156.9,184.7,103.5
108,Travis Benjamin,LAC,11,32,WR,WR42,null,null,null,null,null,104.2
109,Kamar Aiken,BAL,8,33,WR,WR43,null,null,null,null,null,105.8
110,Bilal Powell,NYJ,11,33,RB,RB42,null,null,null,null,null,105.9
111,Isaiah Crowell,CLE,13,29,RB,RB43,null,null,null,null,null,106.9
112,Tyler Eifert,CIN,9,31,TE,TE13,null,null,null,null,null,108.4
113,Kirk Cousins,WAS,9,34,QB,QB13,106.9,117.4,118.4,106.9,125.6,109.6
114,Tavon Austin,LAR,8,32,WR,WR44,715,489,459,298,863,109.8
115,Arizona Cardinals,ARI,9,null,DST,DST2,165.6,165.6,162.9,154.9,165.6,109.9
116,Jay Ajayi,MIA,8,29,RB,RB44,null,null,null,null,null,111.3
117,Corey Coleman,CLE,13,28,WR,WR45,545,487,499,336,822,112.2
118,Seattle Seahawks,SEA,5,null,DST,DST3,178,178,178,178,178,114.1
119,Tyrod Taylor,BUF,10,33,QB,QB14,509,458,476,385,509,114.3
120,Tajae Sharpe,TEN,13,27,WR,WR46,387,332,331,325,487,115.1
121,Darren Sproles,PHI,4,39,RB,RB45,null,null,null,null,null,116.8
122,Martellus Bennett,NE,9,35,TE,TE14,null,null,null,null,null,117.3
